# time [s]     intensity
0.000000    0.316162
0.003662    0.728027
0.007325    -0.100037
0.010987    0.090271
0.014649    0.344971
0.018312    -0.893066
0.021974    -0.308838
0.025636    -0.792969
0.029299    0.620117
0.032961    -0.561035
0.036623    0.683105
0.040286    -0.678711
0.043948    -0.916016
0.047610    -0.642090
0.051273    -0.698730
0.054935    -0.240356
0.058597    -0.324463
0.062260    0.214844
0.065922    1.093750
0.069584    1.735352
0.073247    3.218750
0.076909    2.398438
0.080571    0.644531
0.084234    -0.606445
0.087896    0.951660
0.091558    -0.129517
0.095221    0.203857
0.098883    0.279053
0.102545    -0.711426
0.106208    0.525391
0.109870    0.034363
0.113532    0.091492
0.117195    -0.463867
0.120857    0.141479
0.124519    -0.088196
0.128182    -0.773438
0.131844    -0.741699
0.135506    0.471436
0.139169    -0.190796
0.142831    0.177979
0.146493    -0.624023
0.150156    -1.182617
0.153818    -0.088135
0.157480    -0.270020
0.161143    -1.571289
0.164805    -1.194336
0.168467    0.161621
0.172130    0.205811
0.175792    1.646484
0.179454    1.684570
0.183117    3.046875
0.186779    1.931641
0.190441    0.513184
0.194104    -0.071167
0.197766    0.866211
0.201428    0.013680
0.205091    0.038239
0.208753    -0.358887
0.212415    -0.471436
0.216078    0.419922
0.219740    -0.437988
0.223402    0.717285
0.227065    1.051758
0.230727    0.182861
0.234389    -0.585938
0.238052    -1.326172
0.241714    0.471436
0.245376    -0.629395
0.249039    0.603516
0.252701    -0.812500
0.256363    1.206055
0.260026    -0.337891
0.263688    0.153931
0.267350    1.083008
0.271013    -0.480469
0.274675    0.313965
0.278337    0.218140
0.282000    0.031525
0.285662    0.792969
0.289324    2.568359
0.292987    3.718750
0.296649    1.547852
0.300311    -0.317383
0.303974    -0.189209
0.307636    0.071350
0.311298    -0.408447
0.314961    0.530273
0.318623    0.751465
0.322285    0.649902
0.325948    -0.815430
0.329610    0.515625
0.333272    0.135620
0.336935    0.102356
0.340597    0.243286
0.344259    -0.450684
0.347922    -0.956543
0.351584    0.178711
0.355246    -0.062103
0.358909    -0.302246
0.362571    -0.275635
0.366233    -0.584961
0.369896    0.686523
0.373558    -0.047668
0.377220    0.329590
0.380883    0.083313
0.384545    0.484375
0.388207    -0.026947
0.391870    0.392822
0.395532    2.480469
0.399194    2.375000
0.402857    1.778320
0.406519    2.242188
0.410181    -0.118591
0.413844    0.367188
0.417506    -0.338623
0.421168    0.313232
0.424831    0.499268
0.428493    0.282471
0.432155    -0.019897
0.435818    0.635254
0.439480    0.147705
0.443142    -0.145386
0.446805    0.498291
0.450467    0.531250
0.454129    -0.059601
0.457792    -0.297363
0.461454    0.525391
0.465116    0.091309
0.468779    0.094604
0.472441    0.102905
0.476103    -0.521484
0.479766    -0.432373
0.483428    0.108459
0.487090    -0.151733
0.490753    -0.843750
0.494415    0.044830
0.498077    -0.132690
0.501740    0.504883
0.505402    2.648438
0.509064    3.070312
0.512727    2.982422
0.516389    -0.093140
0.520051    0.142578
0.523714    0.666992
0.527376    0.466797
0.531038    -0.634277
0.534701    0.005661
0.538363    0.213989
0.542025    0.301514
0.545688    0.139160
0.549350    -0.292236
0.553012    -0.183960
0.556675    0.537109
0.560337    0.780762
0.563999    0.823242
0.567662    0.457275
0.571324    -0.470703
0.574986    -0.246948
