# time [s]     intensity
0.000000    4.737395
0.000020    -4.047295
0.000041    2.338781
0.000061    3.901393
0.000082    -0.331525
0.000102    -3.894310
0.000123    -0.115818
0.000143    -8.515512
0.000164    -1.632246
0.000184    -7.271574
0.000205    1.070952
0.000225    3.232970
0.000246    1.018672
0.000266    -2.020002
0.000287    -2.329071
0.000307    -1.496601
0.000328    -2.036245
0.000348    -6.185386
0.000369    -5.676300
0.000389    -5.205298
0.000410    2.463647
0.000430    1.549048
0.000451    1.050904
0.000471    2.879434
0.000492    2.270963
0.000512    -0.566769
0.000532    5.096522
0.000553    -3.050786
0.000573    2.495981
0.000594    0.243060
0.000614    0.888982
0.000635    7.117927
0.000655    2.882646
0.000676    1.507586
0.000696    3.586374
0.000717    0.162061
0.000737    -3.404539
0.000758    1.480653
0.000778    -3.761377
0.000799    -1.164112
0.000819    3.645653
0.000840    -5.612650
0.000860    2.231946
0.000881    -5.235484
0.000901    -0.142089
0.000922    0.945826
0.000942    2.363758
0.000963    0.400679
0.000983    0.895792
0.001004    -3.996679
0.001024    2.710163
0.001044    -0.638603
0.001065    0.514745
0.001085    -9.588198
0.001106    1.488605
0.001126    0.230854
0.001147    -0.733002
0.001167    -0.490875
0.001188    2.112196
0.001208    5.086925
0.001229    1.734953
0.001249    -3.334963
0.001270    -3.350375
0.001290    -3.012448
0.001311    1.451982
0.001331    2.893998
0.001352    0.626824
0.001372    -5.648607
0.001393    -8.981359
0.001413    -5.260301
0.001434    -3.604589
0.001454    0.116010
0.001475    -1.591372
0.001495    5.614860
0.001516    -3.989935
0.001536    -1.689655
0.001556    -6.270426
0.001577    4.721888
0.001597    7.269147
0.001618    6.912030
0.001638    4.663433
0.001659    -1.494070
0.001679    -2.931259
0.001700    0.877492
0.001720    0.323993
0.001741    0.946296
0.001761    1.412982
0.001782    0.956881
0.001802    0.710551
0.001823    -0.913924
0.001843    0.575575
0.001864    -1.881913
0.001884    2.620800
0.001905    1.289088
0.001925    -0.460691
0.001946    4.571624
0.001966    -3.988074
0.001987    3.202623
0.002007    -1.175072
0.002028    1.092887
0.002048    1.360150
0.002068    -6.766648
0.002089    3.663693
0.002109    -2.867365
0.002130    1.232518
0.002150    2.779010
0.002171    -0.584911
0.002191    -1.934139
0.002212    5.148358
0.002232    -1.663580
0.002253    3.087967
0.002273    9.967927
0.002294    -6.148793
0.002314    6.002902
0.002335    -0.280921
0.002355    -2.931616
0.002376    -1.604452
0.002396    -2.053140
0.002417    -1.929144
0.002437    -2.149304
0.002458    -1.941384
0.002478    5.094194
0.002499    4.318761
0.002519    -1.982690
0.002540    -5.125860
0.002560    -3.305270
0.002580    -4.442624
0.002601    -2.113326
0.002621    4.751722
0.002642    -3.114271
